Source,Target,Type,Id,Type_edge,Weigth
3175,200,Undirected,512,inventeur_brevet,1
3176,596,Undirected,513,inventeur_brevet,1
3177,675,Undirected,514,inventeur_brevet,1
3178,1567,Undirected,515,inventeur_brevet,1
3179,2329,Undirected,516,inventeur_brevet,1
3180,1218,Undirected,517,inventeur_brevet,1
3181,289,Undirected,518,inventeur_brevet,1
3182,712,Undirected,519,inventeur_brevet,1
3183,225,Undirected,520,inventeur_brevet,1
3184,1241,Undirected,521,inventeur_brevet,1
3185,2651,Undirected,522,inventeur_brevet,1
3186,2237,Undirected,523,inventeur_brevet,1
3187,2349,Undirected,524,inventeur_brevet,1
3188,1299,Undirected,525,inventeur_brevet,1
3189,435,Undirected,526,inventeur_brevet,1
3190,187,Undirected,527,inventeur_brevet,1
3191,1307,Undirected,528,inventeur_brevet,1
3192,260,Undirected,529,inventeur_brevet,1
3193,995,Undirected,530,inventeur_brevet,1
3194,2126,Undirected,531,inventeur_brevet,1
3195,346,Undirected,532,inventeur_brevet,1
3196,1240,Undirected,533,inventeur_brevet,1
3197,1302,Undirected,534,inventeur_brevet,1
3198,1504,Undirected,535,inventeur_brevet,1
3199,1504,Undirected,536,inventeur_brevet,1
3200,807,Undirected,537,inventeur_brevet,1
3201,1865,Undirected,538,inventeur_brevet,1
3202,1581,Undirected,539,inventeur_brevet,1
3203,2690,Undirected,540,inventeur_brevet,1
3204,724,Undirected,541,inventeur_brevet,1
3205,2138,Undirected,542,inventeur_brevet,1
3206,16,Undirected,543,inventeur_brevet,1
3207,379,Undirected,544,inventeur_brevet,1
3208,434,Undirected,545,inventeur_brevet,1
3209,2205,Undirected,546,inventeur_brevet,1
3210,1759,Undirected,547,inventeur_brevet,1
3211,2681,Undirected,548,inventeur_brevet,1
3212,922,Undirected,549,inventeur_brevet,1
3213,1956,Undirected,550,inventeur_brevet,1
3214,1911,Undirected,551,inventeur_brevet,1
3215,2369,Undirected,552,inventeur_brevet,1
3216,354,Undirected,553,inventeur_brevet,1
3217,815,Undirected,554,inventeur_brevet,1
3218,1971,Undirected,555,inventeur_brevet,1
3219,2650,Undirected,556,inventeur_brevet,1
3220,18,Undirected,557,inventeur_brevet,1
3221,98,Undirected,558,inventeur_brevet,1
3222,1523,Undirected,559,inventeur_brevet,1
3223,476,Undirected,560,inventeur_brevet,1
3224,217,Undirected,561,inventeur_brevet,1
3225,1695,Undirected,562,inventeur_brevet,1
3226,1292,Undirected,563,inventeur_brevet,1
3227,1681,Undirected,564,inventeur_brevet,1
3228,1412,Undirected,565,inventeur_brevet,1
3229,508,Undirected,566,inventeur_brevet,1
3230,1745,Undirected,567,inventeur_brevet,1
3231,1763,Undirected,568,inventeur_brevet,1
3232,1156,Undirected,569,inventeur_brevet,1
3233,113,Undirected,570,inventeur_brevet,1
3234,2222,Undirected,571,inventeur_brevet,1
3235,2359,Undirected,572,inventeur_brevet,1
3236,2233,Undirected,573,inventeur_brevet,1
3237,580,Undirected,574,inventeur_brevet,1
3238,9,Undirected,575,inventeur_brevet,1
3239,1982,Undirected,576,inventeur_brevet,1
3240,1211,Undirected,577,inventeur_brevet,1
3241,2392,Undirected,578,inventeur_brevet,1
3242,2374,Undirected,579,inventeur_brevet,1
3243,217,Undirected,580,inventeur_brevet,1
3244,1914,Undirected,581,inventeur_brevet,1
3245,1707,Undirected,582,inventeur_brevet,1
3246,1514,Undirected,583,inventeur_brevet,1
3247,2543,Undirected,584,inventeur_brevet,1
3248,2384,Undirected,585,inventeur_brevet,1
